"index","Ligand","Receptor","markers.x","Bretigea_1.x","Bretigea_2.x","CellMarker_1.x","CellMarker_2.x","PanglaoDB_1.x","PanglaoDB_2.x","HumanProteinAtlas_1.x","HumanProteinAtlas_2.x","cell_type_1.x","cell_type_2.x","Consensus.x","Score.x","markers.y","Bretigea_1.y","Bretigea_2.y","CellMarker_1.y","CellMarker_2.y","PanglaoDB_1.y","PanglaoDB_2.y","HumanProteinAtlas_1.y","HumanProteinAtlas_2.y","cell_type_1.y","cell_type_2.y","Consensus.y","Score.y","Combined","Interaction"
21,"CCK","CCKBR","CCK","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron","Neuron","Neuron","Neuron","Neuron",0.71,"CCKBR","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.29,"Neuron-Neuron","CCK_CCKBR"
22,"CRH","CRHR1","CRH","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.41,"CRHR1",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.39,"Neuron-Neuron","CRH_CRHR1"
24,"TAC1","TACR1","TAC1","Neuron",NA,"Neuron","Neuron","Neuron",NA,NA,"Neuron","Neuron","Neuron","Neuron",0.57,"TACR1","Neuron",NA,"Astrocyte",NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.51,"Neuron-Neuron","TAC1_TACR1"
25,"PDYN","OPRK1","PDYN","Neuron",NA,"Neuron",NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.48,"OPRK1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.41,"Neuron-Neuron","PDYN_OPRK1"
28,"ADCYAP1","ADCYAP1R1","ADCYAP1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"ADCYAP1R1","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte",0.81,"Neuron-Astrocyte","ADCYAP1_ADCYAP1R1"
52,"GJA1","GJA1","GJA1","Astrocyte",NA,"Astrocyte",NA,NA,"Astrocyte",NA,NA,"OPC","Astrocyte","Astrocyte",0.62,"GJA1","Astrocyte",NA,"Astrocyte",NA,"Astrocyte",NA,NA,"Endothelial","OPC","Astrocyte","Astrocyte",0.74,"Astrocyte-Astrocyte","GJA1_GJA1"
54,"GJA4","GJA4","GJA4","Endothelial",NA,NA,NA,NA,NA,NA,"Endothelial","Microglia","Neuron","Endothelial",0.49,"GJA4","Endothelial",NA,NA,NA,NA,NA,"Neuron",NA,"Microglia","Neuron","Neuron",0.5,"Endothelial-Neuron","GJA4_GJA4"
55,"GJA5","GJA5","GJA5","Endothelial",NA,NA,NA,"Endothelial",NA,"Neuron",NA,"Microglia","Neuron","Endothelial",0.67,"GJA5","Endothelial",NA,NA,NA,"Endothelial",NA,"Neuron",NA,"Microglia","Neuron","Endothelial",0.7,"Endothelial-Endothelial","GJA5_GJA5"
58,"GJB1","GJB1","GJB1","Oligodendrocyte",NA,"Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.38,"GJB1","Oligodendrocyte",NA,"Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.36,"Oligodendrocyte-Oligodendrocyte","GJB1_GJB1"
59,"GJB2","GJB2","GJB2","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Astrocyte","Neuron","Astrocyte",0.54,"GJB2","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Astrocyte","Neuron","Astrocyte",0.54,"Astrocyte-Astrocyte","GJB2_GJB2"
63,"GJB6","GJB6","GJB6","Astrocyte",NA,"Astrocyte",NA,NA,"Astrocyte",NA,NA,"Astrocyte","Microglia","Astrocyte",0.62,"GJB6","Astrocyte",NA,"Astrocyte",NA,"Astrocyte",NA,NA,NA,"Astrocyte","Microglia","Astrocyte",0.64,"Astrocyte-Astrocyte","GJB6_GJB6"
65,"GJC2","GJC2","GJC2","Oligodendrocyte",NA,NA,NA,"Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.27,"GJC2","Oligodendrocyte",NA,NA,NA,"Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.23,"Oligodendrocyte-Oligodendrocyte","GJC2_GJC2"
66,"GJC3","GJC3","GJC3",NA,NA,NA,NA,"Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.17,"GJC3",NA,NA,NA,NA,"Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.11,"Oligodendrocyte-Oligodendrocyte","GJC3_GJC3"
67,"GJD2","GJD2","GJD2","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"GJD2","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.29,"Neuron-Neuron","GJD2_GJD2"
71,"APOE","LRP1","APOE","Astrocyte",NA,"Microglia","Oligodendrocyte","Astrocyte",NA,"Neuron",NA,"Neuron","Microglia","Astrocyte",0.85,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Astrocyte-Astrocyte","APOE_LRP1"
73,"C1QB","LRP1","C1QB","Microglia",NA,NA,"Microglia","Microglia",NA,NA,NA,"Microglia","Neuron","Microglia",0.66,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Microglia-Astrocyte","C1QB_LRP1"
74,"C3","LRP1","C3","Microglia",NA,"Microglia","Astrocyte",NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Microglia-Astrocyte","C3_LRP1"
76,"CALR","LRP1","CALR",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Oligodendrocyte","Neuron",0.23,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Neuron-Astrocyte","CALR_LRP1"
81,"LPL","LRP1","LPL","Microglia",NA,"Microglia","Astrocyte",NA,NA,NA,NA,"OPC","Neuron","Microglia",0.79,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Microglia-Astrocyte","LPL_LRP1"
82,"LRPAP1","LRP1","LRPAP1",NA,NA,"Microglia",NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.52,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Neuron-Astrocyte","LRPAP1_LRP1"
87,"PDGFB","LRP1","PDGFB","Microglia",NA,NA,NA,"Endothelial",NA,NA,"Endothelial","Neuron","Neuron","Endothelial",0.9,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Endothelial-Astrocyte","PDGFB_LRP1"
89,"PLAU","LRP1","PLAU","Microglia",NA,NA,NA,NA,NA,NA,"Endothelial","Microglia","Neuron","Microglia",0.67,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Microglia-Astrocyte","PLAU_LRP1"
91,"SERPINA1","LRP1","SERPINA1","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.58,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Microglia-Astrocyte","SERPINA1_LRP1"
94,"SERPINE2","LRP1","SERPINE2","Astrocyte",NA,"Neuron","Microglia",NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.74,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Neuron-Astrocyte","SERPINE2_LRP1"
96,"TFPI","LRP1","TFPI","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Endothelial-Astrocyte","TFPI_LRP1"
97,"THBS1","LRP1","THBS1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Neuron","Neuron","Endothelial",0.55,"LRP1","Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron",NA,"Microglia","Oligodendrocyte","Astrocyte",0.71,"Endothelial-Astrocyte","THBS1_LRP1"
112,"EFNB2","EPHA3","EFNB2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"EPHA3",NA,NA,NA,NA,"Neuron",NA,NA,"Endothelial","Microglia","Neuron","Neuron",0.31,"Neuron-Neuron","EFNB2_EPHA3"
113,"ADAM11","ITGA4","ADAM11","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Microglia","Neuron",0.27,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Neuron-Microglia","ADAM11_ITGA4"
114,"ADAM23","ITGA4","ADAM23","Neuron",NA,NA,NA,NA,NA,NA,"Neuron","Microglia","Neuron","Neuron",0.37,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Neuron-Microglia","ADAM23_ITGA4"
118,"CD14","ITGA4","CD14","Microglia",NA,"Microglia",NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Microglia",0.74,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Microglia-Microglia","CD14_ITGA4"
120,"F13A1","ITGA4","F13A1","Microglia",NA,"Microglia",NA,"Microglia",NA,NA,NA,"Neuron","Microglia","Microglia",0.66,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Microglia-Microglia","F13A1_ITGA4"
121,"FN1","ITGA4","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Endothelial-Microglia","FN1_ITGA4"
123,"MADCAM1","ITGA4","MADCAM1",NA,NA,NA,NA,"Endothelial",NA,NA,"Neuron","Neuron","Neuron","Neuron",0.53,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Neuron-Microglia","MADCAM1_ITGA4"
126,"SPON2","ITGA4","SPON2",NA,NA,NA,NA,NA,"T cell","Neuron",NA,"Neuron","Microglia","Neuron",0.32,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Neuron-Microglia","SPON2_ITGA4"
127,"SPP1","ITGA4","SPP1","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.65,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Microglia-Microglia","SPP1_ITGA4"
128,"THBS1","ITGA4","THBS1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Neuron","Neuron","Endothelial",0.55,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Endothelial-Microglia","THBS1_ITGA4"
129,"THBS2","ITGA4","THBS2","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.58,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Neuron-Microglia","THBS2_ITGA4"
130,"VCAM1","ITGA4","VCAM1","Endothelial",NA,"Endothelial",NA,NA,"Endothelial",NA,NA,"Microglia","Oligodendrocyte","Endothelial",0.49,"ITGA4",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.24,"Endothelial-Microglia","VCAM1_ITGA4"
216,"AZGP1","ITGAV","AZGP1","Oligodendrocyte",NA,NA,NA,NA,NA,NA,NA,"Oligodendrocyte","OPC","Oligodendrocyte",0.25,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Oligodendrocyte-Neuron","AZGP1_ITGAV"
217,"CALR","ITGAV","CALR",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Oligodendrocyte","Neuron",0.23,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Neuron-Neuron","CALR_ITGAV"
218,"COL4A1","ITGAV","COL4A1","Endothelial",NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Endothelial",0.65,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Endothelial-Neuron","COL4A1_ITGAV"
219,"COL4A3","ITGAV","COL4A3",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.36,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Neuron-Neuron","COL4A3_ITGAV"
226,"FN1","ITGAV","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Endothelial-Neuron","FN1_ITGAV"
227,"FNDC5","ITGAV","FNDC5","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Neuron-Neuron","FNDC5_ITGAV"
229,"L1CAM","ITGAV","L1CAM","Neuron",NA,"Neuron","Astrocyte",NA,NA,NA,NA,"Microglia","Neuron","Neuron",0.46,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Neuron-Neuron","L1CAM_ITGAV"
233,"SPP1","ITGAV","SPP1","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.65,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Microglia-Neuron","SPP1_ITGAV"
235,"TNC","ITGAV","TNC","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","OPC","Astrocyte",0.7,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Astrocyte-Neuron","TNC_ITGAV"
238,"ADAM23","ITGB3","ADAM23","Neuron",NA,NA,NA,NA,NA,NA,"Neuron","Microglia","Neuron","Neuron",0.37,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Neuron-Microglia","ADAM23_ITGB3"
244,"EDIL3","ITGB3","EDIL3","Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Oligodendrocyte",0.28,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Oligodendrocyte-Microglia","EDIL3_ITGB3"
247,"FN1","ITGB3","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Endothelial-Microglia","FN1_ITGB3"
249,"IL32","ITGB3","IL32","Endothelial",NA,"T cell",NA,"T cell",NA,NA,NA,"Microglia","Neuron","T cell",0.42,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"T cell-Microglia","IL32_ITGB3"
253,"SPP1","ITGB3","SPP1","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.65,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Microglia-Microglia","SPP1_ITGB3"
254,"TGM2","ITGB3","TGM2","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Oligodendrocyte","Endothelial",0.36,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Endothelial-Microglia","TGM2_ITGB3"
255,"THBS1","ITGB3","THBS1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Neuron","Neuron","Endothelial",0.55,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Endothelial-Microglia","THBS1_ITGB3"
256,"TNC","ITGB3","TNC","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","OPC","Astrocyte",0.7,"ITGB3","Microglia",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Microglia",0.79,"Astrocyte-Microglia","TNC_ITGB3"
263,"DLL1","NOTCH1","DLL1","Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte",0.28,"NOTCH1",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Astrocyte","OPC","Neuron",0.21,"Oligodendrocyte-Neuron","DLL1_NOTCH1"
265,"DLL4","NOTCH1","DLL4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.57,"NOTCH1",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Astrocyte","OPC","Neuron",0.21,"Endothelial-Neuron","DLL4_NOTCH1"
266,"JAG1","NOTCH1","JAG1",NA,NA,"Neuron","Neuron",NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.56,"NOTCH1",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Astrocyte","OPC","Neuron",0.21,"Neuron-Neuron","JAG1_NOTCH1"
269,"PSEN1","NOTCH1","PSEN1","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","OPC","Oligodendrocyte",0.22,"NOTCH1",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Astrocyte","OPC","Neuron",0.21,"Oligodendrocyte-Neuron","PSEN1_NOTCH1"
286,"CALR","ITGA3","CALR",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Oligodendrocyte","Neuron",0.23,"ITGA3",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia","Neuron","Neuron",0.4,"Neuron-Neuron","CALR_ITGA3"
288,"RELN","ITGA3","RELN","Neuron",NA,"Neuron","Neuron","Neuron",NA,NA,NA,"Neuron","Astrocyte","Neuron",0.38,"ITGA3",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia","Neuron","Neuron",0.4,"Neuron-Neuron","RELN_ITGA3"
289,"THBS1","ITGA3","THBS1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Neuron","Neuron","Endothelial",0.55,"ITGA3",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia","Neuron","Neuron",0.4,"Endothelial-Neuron","THBS1_ITGA3"
290,"TIMP2","ITGA3","TIMP2",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","Oligodendrocyte","Microglia",0.14,"ITGA3",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia","Neuron","Neuron",0.4,"Microglia-Neuron","TIMP2_ITGA3"
296,"VIP","ADCYAP1R1","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"ADCYAP1R1","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte",0.81,"Neuron-Astrocyte","VIP_ADCYAP1R1"
297,"ADCYAP1","SCTR","ADCYAP1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"SCTR",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.28,"Neuron-Neuron","ADCYAP1_SCTR"
300,"VIP","SCTR","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"SCTR",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.28,"Neuron-Neuron","VIP_SCTR"
303,"PTMA","VIPR1","PTMA","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron","Endothelial","Microglia","Neuron","Neuron",0.61,"VIPR1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","PTMA_VIPR1"
319,"CORT","MRGPRX2","CORT",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.31,"MRGPRX2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Oligodendrocyte","Neuron","Neuron",0.3,"Neuron-Neuron","CORT_MRGPRX2"
330,"AGRN","ATP1A3","AGRN","Endothelial",NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Endothelial",0.65,"ATP1A3",NA,NA,"Microglia","Neuron",NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.36,"Endothelial-Neuron","AGRN_ATP1A3"
333,"AGRN","LRP4","AGRN","Endothelial",NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Endothelial",0.65,"LRP4","Astrocyte",NA,NA,NA,NA,NA,"Endothelial","Neuron","Oligodendrocyte","Neuron","Neuron",0.71,"Endothelial-Neuron","AGRN_LRP4"
345,"AGRP","MC5R","AGRP",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.4,"MC5R",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","AGRP_MC5R"
347,"POMC","MC5R","POMC",NA,NA,NA,NA,NA,"Neuron",NA,NA,"Microglia","Neuron","Neuron",0.24,"MC5R",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","POMC_MC5R"
