species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	TMEM100	Endothelial cells	FLJ10970|FLJ37856	0.021	transmembrane protein 100	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0	0.00291451	0
Mm Hs	ADGRF5	Endothelial cells	DKFZp564O1923|KIAA0758|GPR116	0.047	adhesion G protein-coupled receptor F5	protein-coding gene	1	Mesoderm	Vasculature	0.346154	0.873698	0.00680052	0.0121482
Mm	ABCB1A	Endothelial cells	NA	0.023	"ATP-binding cassette, sub-family B (MDR/TAP), member 1A"	protein coding gene	1	Mesoderm	Vasculature	0	0.5	0	0.00465681
Mm Hs	ABCG2	Endothelial cells	EST157481|MXR|BCRP|ABCP|CD338	0.038	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.598958	0.00356218	0.0180873
Mm Hs	PODXL	Endothelial cells	PCLP|Gp200|PC	0.04	podocalyxin like	protein-coding gene	1	Mesoderm	Vasculature	0.346154	0.542969	0.0307642	0.0137005
Mm Hs	NOSTRIN	Endothelial cells	MGC20702	0.025	nitric oxide synthase trafficking	protein-coding gene	1	Mesoderm	Vasculature	0.384615	0.43099	0.011658	0.00512924
Mm Hs	MFSD2A	Endothelial cells	FLJ14490|MFSD2	0.02	major facilitator superfamily domain containing 2A	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0.294271	0.00777202	0.0095161
Mm Hs	ACVRL1	Endothelial cells	HHT2|HHT|ACVRLK1|ORW2	0.03	activin A receptor like type 1	protein-coding gene	1	Mesoderm	Vasculature	0.269231	0.53125	0.00388601	0.00823379
Mm Hs	AQP1	Endothelial cells	CHIP28|CO	0.037	aquaporin 1 (Colton blood group)	protein-coding gene	1	Mesoderm	Vasculature	0.173077	0.304688	0.0126295	0.0288857
Mm Hs	MYLK	Endothelial cells	smMLCK|MYLK1|MLCK1	0.047	myosin light chain kinase	protein-coding gene	1	Mesoderm	Vasculature	0.0576923	0.0872396	0.0553756	0.0446784
Mm Hs	RASIP1	Endothelial cells	FLJ20401|RAIN	0.026	Ras interacting protein 1	protein-coding gene	1	Mesoderm	Vasculature	0.163462	0	0.000971503	0
Mm Hs	FLI1	Endothelial cells	SIC-1	0.036	"Fli-1 proto-oncogene, ETS transcription factor"	protein-coding gene	1	Mesoderm	Vasculature	0.144231	0.410156	0.00129534	0.0246339
Mm Hs	TIE1	Endothelial cells	JTK14|TIE	0.025	tyrosine kinase with immunoglobulin like and EGF like domains 1	protein-coding gene	1	Mesoderm	Vasculature	0.413462	0	0.00194301	0
Mm Hs	APLNR	Endothelial cells	FLJ90771|APJ|APJR|AGTRL1	0.015	apelin receptor	protein-coding gene	1	Mesoderm	Vasculature	0.201923	0.295573	0.0103627	0.00047243
Mm Hs	NRP2	Endothelial cells	VEGF165R2	0.04	neuropilin 2	protein-coding gene	1	Mesoderm	Vasculature	0.336538	0.173177	0.0252591	0.0345549
Mm Hs	ADAMTS1	Endothelial cells	C3-C5|METH1|KIAA1346	0.053	ADAM metallopeptidase with thrombospondin type 1 motif 1	protein-coding gene	1	Mesoderm	Vasculature	0.115385	0.35026	0.0540803	0.0390767
Mm Hs	RPRM	Endothelial cells	FLJ90327|REPRIMO	0.039	"reprimo, TP53 dependent G2 arrest mediator homolog"	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.00291451	0
Mm Hs	FABP4	Endothelial cells	A-FABP|aP2	0.028	fatty acid binding protein 4	protein-coding gene	1	Mesoderm	Vasculature	0.0961538	0.273438	0.00744819	0.0207869
Mm Hs	GPIHBP1	Endothelial cells	LOC338328|GPI-HBP1	0.017	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	protein-coding gene	1	Mesoderm	Vasculature	0.134615	0.334635	0.000323834	0.00330701
Mm Hs	FHL2	Endothelial cells	SLIM3|DRAL	0.043	four and a half LIM domains 2	protein-coding gene	1	Mesoderm	Vasculature	0.173077	0.00260417	0.101684	0.0299656
Mm Hs	LOX	Endothelial cells	NA	0.017	lysyl oxidase	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.00260417	0.0152202	0.0176149
Mm Hs	KLK1	Endothelial cells	Klk6	0.013	kallikrein 1	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.00841969	0.0149153
Mm Hs	ADORA2A	Endothelial cells	RDC8|ADORA2	0.01	adenosine A2a receptor	protein-coding gene	NA	Mesoderm	Vasculature	0	0.197917	0	0.00296956
Mm Hs	ARAP3	Endothelial cells	FLJ21065|DRAG1|CENTD3	0.009	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"	protein-coding gene	NA	Mesoderm	Vasculature	0	0.214844	0	0.00026996
Mm Hs	ARHGEF15	Endothelial cells	KIAA0915|Vsm-RhoGEF|ARGEF15|FLJ13791|MGC44868	0.01	Rho guanine nucleotide exchange factor 15	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.166667	0	0.00465681
Mm Hs	CARD10	Endothelial cells	CARMA3|BIMP1	0.002	caspase recruitment domain family member 10	protein-coding gene	1	Mesoderm	Vasculature	0.0192308	0.00651042	0.000323834	0.00175474
Mm Hs	CLEC14A	Endothelial cells	C14orf27	0.024	C-type lectin domain containing 14A	protein-coding gene	1	Mesoderm	Vasculature	0.769231	0.445312	0.00420984	0.00188972
Mm Hs	DLL4	Endothelial cells	NA	0.007	delta like canonical Notch ligand 4	protein-coding gene	1	Mesoderm	Vasculature	0.0769231	0.144531	0.000323834	0.0006749
Mm Hs	ESM1	Endothelial cells	NA	0.006	endothelial cell specific molecule 1	protein-coding gene	1	Mesoderm	Vasculature	0.269231	0.0299479	0.00356218	0.00357697
Mm	EXOC3L	Endothelial cells	NA	0	exocyst complex component 3-like	protein coding gene	1	Mesoderm	Vasculature	0	0	0	0
Mm Hs	GIMAP5	Endothelial cells	HIMAP3|IAN5|IAN4L1	0.016	"GTPase, IMAP family member 5"	protein-coding gene	1	Mesoderm	Vasculature	0	0.164062	0	0.0122832
Mm Hs	GJA4	Endothelial cells	CX37	0.02	gap junction protein alpha 4	protein-coding gene	NA	Mesoderm	Vasculature	0.115385	0.09375	0.0100389	0.0180873
Mm Hs	MMRN2	Endothelial cells	EndoGlyx-1|FLJ13465|EMILIN3	0.022	multimerin 2	protein-coding gene	1	Mesoderm	Vasculature	0.259615	0.497396	0	0.00182223
Mm Hs	NOTCH4	Endothelial cells	NA	0.003	notch 4	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.0664062	0.00226684	0.00040494
Mm Hs	NPR1	Endothelial cells	GUCY2A|ANPa|ANPRA|NPRA	0.009	natriuretic peptide receptor 1	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.110677	0.00161917	0.0060741
Mm Hs	PRKCH	Endothelial cells	PKC-L|PKCL|PRKCL	0.012	protein kinase C eta	protein-coding gene	1	Mesoderm	Vasculature	0.105769	0.117188	0.0200777	0.00519673
Mm Hs	RASGRP3	Endothelial cells	KIAA0846|GRP3|CalDAG-GEFIII	0.025	RAS guanyl releasing protein 3	protein-coding gene	1	Mesoderm	Vasculature	0.0769231	0	0.00712435	0
Mm Hs	ROBO4	Endothelial cells	FLJ20798|MRB|ECSM4	0.013	roundabout guidance receptor 4	protein-coding gene	1	Mesoderm	Vasculature	0.125	0	0.000323834	0
Mm Hs	SCARF1	Endothelial cells	SREC|KIAA0149|SREC1	0.004	scavenger receptor class F member 1	protein-coding gene	1	Mesoderm	Vasculature	0.0673077	0	0.000323834	0
Mm Hs	SOX18	Endothelial cells	NA	0.012	SRY-box 18	protein-coding gene	1	Mesoderm	Vasculature	0.365385	0	0.00809585	0
Mm Hs	SOX7	Endothelial cells	NA	0.011	SRY-box 7	protein-coding gene	1	Mesoderm	Vasculature	0.0961538	0	0.00323834	0
Mm Hs	SPNS2	Endothelial cells	NA	0.002	sphingolipid transporter 2	protein-coding gene	1	Mesoderm	Vasculature	0	0	0	0
Mm Hs	THSD1	Endothelial cells	TMTSP	0.008	thrombospondin type 1 domain containing 1	protein-coding gene	1	Mesoderm	Vasculature	0.0576923	0	0.00323834	0
Mm Hs	APOLD1	Endothelial cells	FLJ25138|DKFZP434F0318	0.03	apolipoprotein L domain containing 1	protein-coding gene	1	Mesoderm	Vasculature	0.0769231	0.509115	0.00323834	0.0117433
Mm Hs	EMP1	Endothelial cells	TMP|CL-20	0.076	epithelial membrane protein 1	protein-coding gene	1	Mesoderm	Vasculature	0.75	0.259115	0.0913212	0.0591213
Mm Hs	CD36	Endothelial cells	SCARB3|GPIV|GP4|GP3B	0.042	CD36 molecule	protein-coding gene	1	Mesoderm	Vasculature	0.115385	0.28776	0.0317358	0.0315179
Mm Hs	RNASE1	Endothelial cells	RAC1|RNS1	0.022	"ribonuclease A family member 1, pancreatic"	protein-coding gene	1	Mesoderm	Vasculature	0.807692	0	0.0660622	0
Mm Hs	CTGF	Endothelial cells	IGFBP8|CCN2	0.028	connective tissue growth factor	protein-coding gene	1	Mesoderm	Vasculature	0.644231	0.00130208	0.0812824	0.0130256
Mm Hs	HYAL2	Endothelial cells	LuCa-2|LUCA2	0.031	hyaluronoglucosaminidase 2	protein-coding gene	1	Mesoderm	Vasculature	0.567308	0.153646	0.0540803	0.0143754
Mm Hs	CLEC4G	Endothelial cells	UNQ431|LSECtin	0.001	C-type lectin domain family 4 member G	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.0130208	0	0.00026996
Mm Hs	GPR182	Endothelial cells	hrhAMR|G10D|AM-R|ADMR	0.005	G protein-coupled receptor 182	protein-coding gene	1	Mesoderm	Vasculature	0	0.0950521	0.00356218	0.00040494
Mm Hs	F8	Endothelial cells	FVIII|DXS1253E|HEMA|F8C	0.003	coagulation factor VIII	protein-coding gene	1	Mesoderm	Vasculature	0.182692	0.046875	0	0.00020247
Mm Hs	RBP7	Endothelial cells	CRBPIV	0.009	retinol binding protein 7	protein-coding gene	1	Mesoderm	Vasculature	0.326923	0	0.0119819	0
Mm Hs	CALCRL	Endothelial cells	CGRPR|CRLR	0.017	calcitonin receptor like receptor	protein-coding gene	1	Mesoderm	Vasculature	0.605769	0.24349	0.00518135	0.00425187
Mm Hs	FOXF1	Endothelial cells	FREAC1|FKHL5	0.008	forkhead box F1	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0.09375	0.00777202	0.00371195
Mm Hs	CASZ1	Endothelial cells	FLJ20321|ZNF693|castor|cst|SRG	0.016	castor zinc finger 1	protein-coding gene	1	Mesoderm	Vasculature	0	0.0403646	0	0.0193022
Mm Hs	AQP7	Endothelial cells	AQP9|AQPap|AQP7L	0.005	aquaporin 7	protein-coding gene	1	Mesoderm	Vasculature	0	0.0325521	0.00939119	0.00330701
Mm Hs	TCF15	Endothelial cells	EC2|PARAXIS|bHLHa40	0.006	transcription factor 15	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0	0.000323834	0
Mm Hs	CD300LG	Endothelial cells	Trem4|CLM9	0.008	CD300 molecule like family member g	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.174479	0	0.000944861
Mm Hs	BTNL9	Endothelial cells	FLJ32535|BTN8	0.004	butyrophilin like 9	protein-coding gene	1	Mesoderm	Vasculature	0.115385	0.0729167	0	0.00026996
Mm Hs	MEOX2	Endothelial cells	GAX	0.004	mesenchyme homeobox 2	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.0325521	0.00420984	0.00256462
Mm Hs	ERG	Endothelial cells	erg-3	0.01	"ERG, ETS transcription factor"	protein-coding gene	1	Mesoderm	Vasculature	0.240385	0.1875	0.000323834	0.00215968
Mm Hs	HEXIM1	Endothelial cells	CLP-1|MAQ1	0.019	hexamethylene bisacetamide inducible 1	protein-coding gene	1	Mesoderm	Vasculature	0.0480769	0.0455729	0.0297927	0.0162651
Mm Hs	GLYCAM1	Endothelial cells	NA	0.004	glycosylation dependent cell adhesion molecule 1 (pseudogene)	pseudogene	1	Mesoderm	Vasculature	0	0.0286458	0	0.00391442
Mm Hs	CD55	Endothelial cells	TC|CROM|DAF	0.037	CD55 molecule (Cromer blood group)	protein-coding gene	1	Mesoderm	Vasculature	0.326923	0.0351562	0.119171	0.0188972
Mm Hs	MMRN1	Endothelial cells	ECM|EMILIN4|GPIa*|MMRN	0.005	multimerin 1	protein-coding gene	1	Mesoderm	Vasculature	0.134615	0.0703125	0.00485751	0.00047243
Mm Hs	C7	Endothelial cells	NA	0.003	complement C7	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0	0.0145725	0.0013498
Mm Hs	RAMP3	Endothelial cells	NA	0.014	receptor activity modifying protein 3	protein-coding gene	1	Mesoderm	Vasculature	0.423077	0	0.000971503	0
Mm Hs	VEGFC	Endothelial cells	NA	0.005	vascular endothelial growth factor C	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.0142487	0
Mm Hs	GJA5	Endothelial cells	CX40	0.002	gap junction protein alpha 5	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.00390625	0.00129534	0.00155227
Mm Hs	HEY1	Endothelial cells	HESR-1|CHF2|HESR1|HRT-1|CHF-2|HERP2|bHLHb31	0.01	hes related family bHLH transcription factor with YRPW motif 1	protein-coding gene	1	Mesoderm	Vasculature	0.201923	0.0390625	0.0113342	0.00620908
Mm Hs	RND1	Endothelial cells	Rho6|ARHS|RHOS	0.007	Rho family GTPase 1	protein-coding gene	1	Mesoderm	Vasculature	0.105769	0	0.00161917	0
Mm Hs	BDP1	Endothelial cells	TFIIIB150|TFC5|KIAA1689|HSA238520|KIAA1241|TFNR|TAF3B1	0.037	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0.0208333	0.102332	0.0172775
Mm Hs	CD46	Endothelial cells	TRA2.10|MGC26544|MIC10	0.014	CD46 molecule	protein-coding gene	1	Mesoderm	Vasculature	0.134615	0	0.0767487	0.000944861
Mm Hs	MEOX1	Endothelial cells	NA	0.005	mesenchyme homeobox 1	protein-coding gene	1	Mesoderm	Vasculature	0.0480769	0.0924479	0.000647668	0.0020247
Mm Hs	CCL19	Endothelial cells	ELC|MIP-3b|exodus-3|CKb11|SCYA19	0.002	C-C motif chemokine ligand 19	protein-coding gene	1	Mesoderm	Vasculature	0	0.0104167	0.00161917	0.0020247
Mm	CLCA3A1	Endothelial cells	NA	0.003	chloride channel accessory 3A1	protein coding gene	1	Mesoderm	Vasculature	0	0.0559896	0	0.00060741
Mm Hs	MADCAM1	Endothelial cells	MACAM1	0.001	mucosal vascular addressin cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Vasculature	0.0673077	0.0247396	0	0.00026996
Mm Hs	CYP1B1	Endothelial cells	CP1B|GLC3A	0.016	cytochrome P450 family 1 subfamily B member 1	protein-coding gene	1	Mesoderm	Vasculature	0.0673077	0.00911458	0.0485751	0.00897618
Mm Hs	IRX3	Endothelial cells	IRX-1	0.015	iroquois homeobox 3	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.0195312	0.0110104	0.0155227
Mm Hs	BIRC2	Endothelial cells	cIAP1|hiap-2|MIHB|RNF48|c-IAP1|API1	0.015	baculoviral IAP repeat containing 2	protein-coding gene	1	Mesoderm	Vasculature	0	0.0078125	0.0359456	0.0111359
Mm Hs	LYVE1	Endothelial cells	LYVE-1|XLKD1	0.012	lymphatic vessel endothelial hyaluronan receptor 1	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.128906	0.00420984	0.00762638
Mm Hs	SEMA3D	Endothelial cells	coll-2|Sema-Z2	0.005	semaphorin 3D	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0	0.000971503	0
Mm	SLCO1A4	Endothelial cells	NA	0.014	"solute carrier organic anion transporter family, member 1a4"	protein coding gene	1	Mesoderm	Vasculature	NA	NA	NA	NA
Mm Hs	EMCN	Endothelial cells	MUC14	0.043	endomucin	protein-coding gene	1	Mesoderm	Vasculature	0.653846	0.742188	0.0100389	0.0116083
Mm Hs	WFDC1	Endothelial cells	PS20	0.024	WAP four-disulfide core domain 1	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.0152202	0
Mm Hs	ADGRL4	Endothelial cells	ETL|ELTD1	0.042	adhesion G protein-coupled receptor L4	protein-coding gene	1	Mesoderm	Vasculature	0.778846	0.75	0.0126295	0.00796383
Mm Hs	VWA1	Endothelial cells	FLJ22215|VWA-1|WARP	0.034	von Willebrand factor A domain containing 1	protein-coding gene	1	Mesoderm	Vasculature	0.269231	0	0.0145725	0
Mm Hs	ECE1	Endothelial cells	ECE	0.062	endothelin converting enzyme 1	protein-coding gene	1	Mesoderm	Vasculature	0.259615	0.740885	0.0197539	0.0372545
Mm Hs	PTPRB	Endothelial cells	PTPB	0.041	"protein tyrosine phosphatase, receptor type B"	protein-coding gene	1	Mesoderm	Vasculature	0.336538	0.872396	0.000647668	0.00526422
Mm Hs	CLDN5	Endothelial cells	CPETRL1|AWAL|TMVCF	0.054	claudin 5	protein-coding gene	1	Mesoderm	Vasculature	0.971154	0.880208	0.0210492	0.0128231
None	SDPR	Endothelial cells	NA	0.044	NA	NA	1	Mesoderm	Vasculature	NA	NA	NA	NA
Mm	CAR4	Endothelial cells	NA	0.032	carbonic anhydrase 4	protein coding gene	1	Mesoderm	Vasculature	0	0.389323	0	0.0217993
Mm Hs	TBX1	Endothelial cells	VCF	0.003	T-box 1	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.000971503	0
Mm Hs	SEMA7A	Endothelial cells	H-Sema-L|CD108|SEMAL	0.006	semaphorin 7A (John Milton Hagen blood group)	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.000323834	0
Mm Hs	FOXF2	Endothelial cells	FREAC2|FKHL6	0.016	forkhead box F2	protein-coding gene	1	Mesoderm	Vasculature	0.0192308	0.230469	0.000647668	0.00863873
Mm Hs	PDGFB	Endothelial cells	SSV|SIS	0.01	platelet derived growth factor subunit B	protein-coding gene	1	Mesoderm	Vasculature	0.0480769	0.207031	0	0.00249713
Mm Hs	ECSCR	Endothelial cells	ECSM2|ARIA	0.047	endothelial cell surface expressed chemotaxis and apoptosis regulator	protein-coding gene	1	Mesoderm	Vasculature	0.855769	0.654948	0.00906736	0.0195046
Mm Hs	ELK3	Endothelial cells	ERP|SAP2	0.034	"ELK3, ETS transcription factor"	protein-coding gene	1	Mesoderm	Vasculature	0.269231	0.515625	0.0148964	0.0122157
Mm Hs	CDH5	Endothelial cells	7B4|CD144	0.043	cadherin 5	protein-coding gene	1	Mesoderm	Vasculature	0.644231	0.825521	0.00453368	0.00742391
Mm Hs	PLEC	Endothelial cells	PLTN|EBS1|PLEC1	0.056	plectin	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.174479	0.0310881	0.0569616
Mm Hs	STAB1	Endothelial cells	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2	0.018	stabilin 1	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0	0.00161917	0
Mm Hs	TGFBR2	Endothelial cells	TBRII|TBR-ii|MFS2	0.044	transforming growth factor beta receptor 2	protein-coding gene	1	Mesoderm	Vasculature	0.528846	0	0.0229922	0
Mm Hs	CD93	Endothelial cells	C1qRP|C1qR(P)|dJ737E23.1|CDw93|ECSM3|MXRA4|C1QR1	0.044	CD93 molecule	protein-coding gene	1	Mesoderm	Vasculature	0.471154	0.705729	0.00388601	0.0149153
Mm Hs	CXCL1	Endothelial cells	SCYB1|GROa|MGSA-a|NAP-3|MGSA|GRO1|FSP	0.032	C-X-C motif chemokine ligand 1	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0.0989583	0.0463083	0.026996
Mm	LY6C1	Endothelial cells	NA	0.054	"lymphocyte antigen 6 complex, locus C1"	protein coding gene	1	Mesoderm	Vasculature	0	0.809896	0	0.0280759
Mm Hs	RGS5	Endothelial cells	NA	0.043	regulator of G protein signaling 5	protein-coding gene	1	Mesoderm	Vasculature	NA	NA	NA	NA
Mm Hs	SLC7A5	Endothelial cells	E16|D16S469E|MPE16	0.043	solute carrier family 7 member 5	protein-coding gene	1	Mesoderm	Vasculature	0.0673077	0	0.0297927	0
Mm Hs	ENG	Endothelial cells	END|HHT1|CD105|ORW1|ORW	0.058	endoglin	protein-coding gene	1	Mesoderm	Vasculature	0.846154	0.865885	0.0395078	0.0174799
Mm Hs	KDR	Endothelial cells	FLK1|VEGFR|VEGFR2|CD309	0.041	kinase insert domain receptor	protein-coding gene	1	Mesoderm	Vasculature	0.25	0.799479	0.0110104	0.00755889
Mm Hs	SLC2A1	Endothelial cells	DYT18|DYT9|GLUT1|GLUT|HTLVR|CSE	0.062	solute carrier family 2 member 1	protein-coding gene	1	Mesoderm	Vasculature	0.0576923	0	0.0563472	0
Mm Hs	EGFL7	Endothelial cells	ZNEU1	0.092	EGF like domain multiple 7	protein-coding gene	1	Mesoderm	Vasculature	0.913462	0.996094	0.0880829	0.0387393
Mm Hs	FLT1	Endothelial cells	VEGFR1|FLT	0.051	fms related tyrosine kinase 1	protein-coding gene	1	Mesoderm	Vasculature	0.615385	0.894531	0.0262306	0.0112033
Mm Hs	EPAS1	Endothelial cells	MOP2|PASD2|HIF2A|HLF|bHLHe73	0.076	endothelial PAS domain protein 1	protein-coding gene	1	Mesoderm	Vasculature	0.576923	0.858073	0.0391839	0.0429237
Mm Hs	EDNRB	Endothelial cells	ETB|HSCR2|HSCR	0.057	endothelin receptor type B	protein-coding gene	1	Mesoderm	Vasculature	0.0480769	0.0989583	0.0204016	0.0658028
Mm Hs	KCNJ8	Endothelial cells	Kir6.1	0.017	potassium voltage-gated channel subfamily J member 8	protein-coding gene	1	Mesoderm	Vasculature	0	0.0794271	0.00194301	0.0172775
Mm Hs	CD82	Endothelial cells	R2|IA4|TSPAN27|ST6|KAI1	0.097	CD82 molecule	protein-coding gene	1	Mesoderm	Vasculature	0.0480769	0.247396	0.0637953	0.0975231
Mm Hs	CHST1	Endothelial cells	KSGal6ST	0.032	carbohydrate sulfotransferase 1	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.0963542	0.0132772	0.0346224
Mm Hs	PLAC8	Endothelial cells	onzin|C15	0.14	placenta specific 8	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0.0455729	0.169041	0.134778
Mm Hs	TSPAN8	Endothelial cells	CO-029|TM4SF3	0.047	tetraspanin 8	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.0495466	0
Mm Hs	ETS1	Endothelial cells	FLJ10768|ETS-1	0.095	"ETS proto-oncogene 1, transcription factor"	protein-coding gene	1	Mesoderm	Vasculature	0.259615	0.709635	0.0314119	0.0780185
Mm Hs	CD34	Endothelial cells	NA	0.071	CD34 molecule	protein-coding gene	1	Mesoderm	Vasculature	0.538462	0.752604	0.0236399	0.044341
Mm Hs	PDPN	Endothelial cells	T1A-2|Gp38|aggrus|PA2.26	0.062	podoplanin	protein-coding gene	1	Mesoderm	Vasculature	0.0288462	0.0403646	0.0233161	0.0730917
Mm Hs	PROX1	Endothelial cells	NA	0.028	prospero homeobox 1	protein-coding gene	1	Mesoderm	Vasculature	0.0384615	0.0494792	0.0100389	0.0315853
Mm Hs	EHD3	Endothelial cells	PAST3	0.017	EH domain containing 3	protein-coding gene	1	Mesoderm	Vasculature	0	0.0598958	0	0.0193022
Mm Hs	SRGN	Endothelial cells	PPG	0.236	serglycin	protein-coding gene	1	Mesoderm	Vasculature	0.798077	0	0.314767	0
Mm Hs	S100A10	Endothelial cells	42C|CLP11|ANX2LG|CAL1L	0.374	S100 calcium binding protein A10	protein-coding gene	1	Mesoderm	Vasculature	0.971154	0	0.516839	0
Mm Hs	CLIC4	Endothelial cells	DKFZP566G223|CLIC4L|P64H1|huH1|p64H1	0.152	chloride intracellular channel 4	protein-coding gene	1	Mesoderm	Vasculature	0.451923	0.746094	0.0634715	0.141257
Mm	LY6A	Endothelial cells	NA	0.098	"lymphocyte antigen 6 complex, locus A"	protein coding gene	1	Mesoderm	Vasculature	0	0.65625	0	0.0907066
Mm Hs	USHBP1	Endothelial cells	MCC2|AIEBP|FLJ38709	0.001	USH1 protein network component harmonin binding protein 1	protein-coding gene	1	Mesoderm	Vasculature	0	0	0	0
Mm Hs	MYF6	Endothelial cells	MRF4|bHLHc4	0	myogenic factor 6	protein-coding gene	1	Mesoderm	Vasculature	0	0	0.000323834	0.00013498
Mm Hs	OIT3	Endothelial cells	LZP|FLJ39116	0	oncoprotein induced transcript 3	protein-coding gene	1	Mesoderm	Vasculature	0.00961538	0.0117188	0	0
